Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,DomesticGross,ForeignGross,Budget,Year
Spider-Man 3,Sony,61,54,Action,336.53,554.34,258,2007
Shrek the Third,Paramount,42,57,Animation,322.72,476.24,160,2007
Transformers,Paramount,57,89,Action,319.25,390.46,150,2007
Pirates of the Caribbean: At World's End,Disney,45,74,Action,309.42,654,300,2007
Harry Potter and the Order of the Phoenix,Warner Bros,78,82,Adventure,292,647.88,150,2007
I Am Legend,Warner Bros,69,69,Thriller,256.39,328.96,150,2007
The Bourne Ultimatum,Universal,93,91,Thriller,227.47,215.35,110,2007
National Treasure: Book of Secrets,Disney,31,72,Thriller,219.96,237.4,130,2007
Alvin and the Chipmunks,Fox,26,73,Animation,217.33,144.01,70,2007
300,Warner Bros,60,90,Action,210.61,245.45,65,2007
Ratatouille,Disney,97,84,Animation,206.45,417.28,150,2007
The Simpsons Movie,Fox,90,78,Comedy,183.14,343.94,75,2007
Wild Hogs,Disney,14,72,Comedy,168.27,85.35,90,2007
Knocked Up,Universal,91,83,Comedy,148.77,70.31,33,2007
Juno,Fox,94,89,Comedy,143.5,87.92,7.5,2007
Rush Hour 3,Warner Bros,20,68,Action,140.13,117.9,140,2007
Live Free or Die Hard,Fox,79,86,Action,134.53,249,110,2007
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Action,131.92,157.13,130,2007
American Gangster,Universal,79,87,Thriller,130.16,136.3,100,2007
Enchanted,Disney,93,80,Comedy,127.81,212.68,85,2007
Bee Movie,Paramount,52,57,Animation,126.63,160.96,150,2007
Superbad,Sony,88,87,Comedy,121.46,48.41,20,2007
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,120.06,66.01,85,2007
Hairspray,Warner Bros,92,84,Musical,118.87,83.68,75,2007
Blades of Glory,Paramount,69,66,Comedy,118.59,27.11,61,2007
Ocean's 13,Warner Bros,70,74,Thriller,117.15,194.16,85,2007
Ghost Rider,Sony,28,56,Action,115.8,112.94,110,2007
Evan Almighty,Universal,23,56,Comedy,100.46,72.96,175,2007
Meet the Robinsons,Disney,66,75,Animation,97.82,71.51,100,2007
Norbit,Paramount,9,56,Comedy,95.67,63.64,60,2007
The Bucket List,Warner Bros,41,81,Drama,93.47,81.91,45,2007
The Game Plan,Disney,27,75,Comedy,90.65,57.23,22,2007
Beowulf,Paramount,71,52,Action,82.28,114.11,150,2007
Disturbia,Paramount,67,75,Thriller,80.21,37.55,20,2007
No Country for Old Men,Paramount,95,84,Drama,74.28,97.34,25,2007
The Golden Compass,Warner Bros,42,55,Action,70.11,302.13,180,2007
Charlie Wilson's War,Universal,82,73,Biography,66.66,52.34,75,2007
Saw IV,Independent,18,70,Horror,63.3,76.05,10,2007
Stomp the Yard,Independent,27,83,Musical,61.36,14.15,14,2007
Surf's Up,Sony,78,64,Animation,58.87,90.18,85,2007
Halloween,Weinstein,26,64,Horror,58.27,21.98,20,2007
Tyler Perry's Why Did I get Married,Independent,46,47,Romance,55.2,0.66,15,2007
TMNT,,33,63,Action,54.15,41.46,35,2007
P.S. I Love You,Independent,21,82,Romance,53.7,103.14,30,2007
3:10 to Yuma,Lionsgate,88,85,Adventure,53.61,16.41,48,2007
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros,86,81,Musical,52.9,99.63,50,2007
Music and Lyrics,Warner Bros,63,70,Romance,50.57,95.32,40,2007
Michael Clayton,Independent,90,72,Thriller,49.03,43.96,25,2007
Premonition,Sony,8,55,Drama,47.85,36.29,20,2007
The Kingdom,,52,78,Action,47.54,39.12,80,2007
